x_center,y_center,z_center,orientation
8.885765876316732204e+00,8.885765876316732204e+00,8.885765876316732204e+00,4.657272453922589150e+00
2.665729762895019661e+01,8.885765876316732204e+00,8.885765876316732204e+00,5.233548262794409656e-01
4.442882938158366102e+01,8.885765876316732204e+00,8.885765876316732204e+00,1.885773270787515665e+00
6.220036113421712543e+01,8.885765876316732204e+00,8.885765876316732204e+00,3.478582280178360353e+00
8.885765876316732204e+00,8.885765876316732204e+00,2.665729762895019661e+01,5.097063914552717456e+00
2.665729762895019661e+01,8.885765876316732204e+00,2.665729762895019661e+01,7.656467909742865618e-01
4.442882938158366102e+01,8.885765876316732204e+00,2.665729762895019661e+01,5.639599302407874326e+00
6.220036113421712543e+01,8.885765876316732204e+00,2.665729762895019661e+01,4.664434395134902545e+00
8.885765876316732204e+00,8.885765876316732204e+00,4.442882938158366102e+01,1.157755266117619142e+00
2.665729762895019661e+01,8.885765876316732204e+00,4.442882938158366102e+01,1.847783623639554507e-01
4.442882938158366102e+01,8.885765876316732204e+00,4.442882938158366102e+01,1.904842722582385628e+00
6.220036113421712543e+01,8.885765876316732204e+00,4.442882938158366102e+01,9.672705940261014934e-01
8.885765876316732204e+00,8.885765876316732204e+00,6.220036113421712543e+01,5.821540401956063704e+00
2.665729762895019661e+01,8.885765876316732204e+00,6.220036113421712543e+01,4.098751947408120877e+00
4.442882938158366102e+01,8.885765876316732204e+00,6.220036113421712543e+01,4.076622861931553210e+00
6.220036113421712543e+01,8.885765876316732204e+00,6.220036113421712543e+01,4.771886608995462353e+00
8.885765876316732204e+00,2.665729762895019661e+01,8.885765876316732204e+00,2.191530831697423132e+00
2.665729762895019661e+01,2.665729762895019661e+01,8.885765876316732204e+00,1.384614436949376914e+00
4.442882938158366102e+01,2.665729762895019661e+01,8.885765876316732204e+00,3.631197518653539458e+00
6.220036113421712543e+01,2.665729762895019661e+01,8.885765876316732204e+00,3.768332333047509586e+00
8.885765876316732204e+00,2.665729762895019661e+01,2.665729762895019661e+01,3.673134806796392038e+00
2.665729762895019661e+01,2.665729762895019661e+01,2.665729762895019661e+01,2.117711431786157394e+00
4.442882938158366102e+01,2.665729762895019661e+01,2.665729762895019661e+01,3.923035693945798652e+00
6.220036113421712543e+01,2.665729762895019661e+01,2.665729762895019661e+01,4.186513161565197372e+00
8.885765876316732204e+00,2.665729762895019661e+01,4.442882938158366102e+01,5.313340941613415858e+00
2.665729762895019661e+01,2.665729762895019661e+01,4.442882938158366102e+01,2.862832901764873927e+00
4.442882938158366102e+01,2.665729762895019661e+01,4.442882938158366102e+01,6.052494802083337788e+00
6.220036113421712543e+01,2.665729762895019661e+01,4.442882938158366102e+01,5.837162867410190081e+00
8.885765876316732204e+00,2.665729762895019661e+01,6.220036113421712543e+01,3.041951605316692842e+00
2.665729762895019661e+01,2.665729762895019661e+01,6.220036113421712543e+01,4.238659160101753365e+00
4.442882938158366102e+01,2.665729762895019661e+01,6.220036113421712543e+01,6.273397701160716267e+00
6.220036113421712543e+01,2.665729762895019661e+01,6.220036113421712543e+01,4.833827818745179972e-01
