x_center,y_center,z_center,euler_a,euler_b,euler_c
8.885765876316732204e+00,8.885765876316732204e+00,8.885765876316732204e+00,4.657272453922589150e+00,5.233548262794409656e-01,1.885773270787515665e+00
2.665729762895019661e+01,8.885765876316732204e+00,8.885765876316732204e+00,3.478582280178360353e+00,5.097063914552717456e+00,7.656467909742865618e-01
4.442882938158366102e+01,8.885765876316732204e+00,8.885765876316732204e+00,5.639599302407874326e+00,4.664434395134902545e+00,1.157755266117619142e+00
6.220036113421712543e+01,8.885765876316732204e+00,8.885765876316732204e+00,1.847783623639554507e-01,1.904842722582385628e+00,9.672705940261014934e-01
8.885765876316732204e+00,8.885765876316732204e+00,2.665729762895019661e+01,5.821540401956063704e+00,4.098751947408120877e+00,4.076622861931553210e+00
2.665729762895019661e+01,8.885765876316732204e+00,2.665729762895019661e+01,4.771886608995462353e+00,2.191530831697423132e+00,1.384614436949376914e+00
4.442882938158366102e+01,8.885765876316732204e+00,2.665729762895019661e+01,3.631197518653539458e+00,3.768332333047509586e+00,3.673134806796392038e+00
6.220036113421712543e+01,8.885765876316732204e+00,2.665729762895019661e+01,2.117711431786157394e+00,3.923035693945798652e+00,4.186513161565197372e+00
8.885765876316732204e+00,8.885765876316732204e+00,4.442882938158366102e+01,5.313340941613415858e+00,2.862832901764873927e+00,6.052494802083337788e+00
2.665729762895019661e+01,8.885765876316732204e+00,4.442882938158366102e+01,5.837162867410190081e+00,3.041951605316692842e+00,4.238659160101753365e+00
4.442882938158366102e+01,8.885765876316732204e+00,4.442882938158366102e+01,6.273397701160716267e+00,4.833827818745179972e-01,2.275182535894443969e+00
6.220036113421712543e+01,8.885765876316732204e+00,4.442882938158366102e+01,2.840211929609114616e+00,4.241658659190758129e+00,4.464860595463068904e+00
8.885765876316732204e+00,8.885765876316732204e+00,6.220036113421712543e+01,5.817477154055331390e+00,1.562337541315588663e+00,2.501188705484267860e+00
2.665729762895019661e+01,8.885765876316732204e+00,6.220036113421712543e+01,7.187702068520099852e-01,7.592279699144944827e-01,4.234194829098547608e+00
4.442882938158366102e+01,8.885765876316732204e+00,6.220036113421712543e+01,1.022046012010349308e-01,4.196789310333004508e+00,4.872488275507378397e+00
6.220036113421712543e+01,8.885765876316732204e+00,6.220036113421712543e+01,3.316480907078647622e+00,4.234089072539192422e+00,5.574621161436550842e+00
8.885765876316732204e+00,2.665729762895019661e+01,8.885765876316732204e+00,6.274863333973685897e-01,1.212652061297709638e+00,3.890004589408646574e+00
2.665729762895019661e+01,2.665729762895019661e+01,8.885765876316732204e+00,4.170770998999274504e+00,3.752091893294476677e+00,5.281664998336234262e+00
4.442882938158366102e+01,2.665729762895019661e+01,8.885765876316732204e+00,9.853017638346730500e-01,3.686551550628715646e+00,2.273627603495898875e+00
6.220036113421712543e+01,2.665729762895019661e+01,8.885765876316732204e+00,3.989935639504341047e+00,3.706066759307289793e+00,2.266518744851055533e+00
8.885765876316732204e+00,2.665729762895019661e+01,2.665729762895019661e+01,2.863126578989473980e+00,6.134530923437587546e+00,1.850628737598473794e+00
2.665729762895019661e+01,2.665729762895019661e+01,2.665729762895019661e+01,6.048923090496323152e-01,2.628109253007123058e+00,1.743564481145261968e+00
4.442882938158366102e+01,2.665729762895019661e+01,2.665729762895019661e+01,2.465605448736101768e-01,1.097089256178016781e+00,5.558155090664216758e+00
6.220036113421712543e+01,2.665729762895019661e+01,2.665729762895019661e+01,4.755618632092907028e+00,8.564313013127160534e-01,4.553278729331866614e+00
8.885765876316732204e+00,2.665729762895019661e+01,4.442882938158366102e+01,5.901899038166593670e+00,4.224728113564640175e+00,4.657945615164810427e+00
2.665729762895019661e+01,2.665729762895019661e+01,4.442882938158366102e+01,2.848200393865400581e+00,5.701530661769603547e+00,1.542312618046266293e+00
4.442882938158366102e+01,2.665729762895019661e+01,4.442882938158366102e+01,4.076212015548132506e+00,1.792677549553175265e+00,5.667609441562525774e+00
6.220036113421712543e+01,2.665729762895019661e+01,4.442882938158366102e+01,2.234983068500119574e-02,3.248081573858716542e+00,7.974914724949830891e-01
8.885765876316732204e+00,2.665729762895019661e+01,6.220036113421712543e+01,1.085048319555479562e-01,7.735583863578620045e-01,2.806571632013648454e+00
2.665729762895019661e+01,2.665729762895019661e+01,6.220036113421712543e+01,2.843001432592323852e+00,3.772177021256483798e+00,2.873687381239065086e+00
4.442882938158366102e+01,2.665729762895019661e+01,6.220036113421712543e+01,4.966107313419677816e+00,4.296252488028642347e+00,5.672402602761281720e+00
6.220036113421712543e+01,2.665729762895019661e+01,6.220036113421712543e+01,2.646228466937722956e+00,6.268832007885637658e+00,5.621042536287945701e+00
