step,elapsed,x_laser,G,cooling_rate,R,Tmax
370,371.00,22.10,2.4033e-03,8.7707e-04,3.6494e-01,0.9429
380,381.00,23.10,3.4317e-03,8.9772e-04,2.6160e-01,0.9509
390,391.00,24.10,3.8140e-03,8.4698e-04,2.2207e-01,0.9595
400,401.00,25.10,4.1739e-03,8.0565e-04,1.9302e-01,0.9677
410,411.00,26.10,4.5596e-03,7.5899e-04,1.6646e-01,0.9760
420,421.00,27.10,4.9816e-03,7.2188e-04,1.4491e-01,0.9843
430,431.00,28.10,5.2537e-03,6.9081e-04,1.3149e-01,0.9920
440,441.00,29.10,5.5096e-03,6.5643e-04,1.1914e-01,0.9986
450,451.00,30.10,5.7627e-03,6.2098e-04,1.0776e-01,1.0042
460,461.00,31.10,5.9307e-03,5.8760e-04,9.9078e-02,1.0094
470,471.00,32.10,6.0100e-03,5.5981e-04,9.3145e-02,1.0146
480,481.00,33.10,6.0313e-03,5.4255e-04,8.9955e-02,1.0202
490,491.00,34.10,6.0751e-03,5.2484e-04,8.6392e-02,1.0258
500,501.00,35.10,6.1675e-03,5.0187e-04,8.1374e-02,1.0309
510,511.00,36.10,6.2850e-03,4.8456e-04,7.7098e-02,1.0354
520,521.00,37.10,6.3896e-03,4.7044e-04,7.3625e-02,1.0396
530,531.00,38.10,6.4589e-03,4.6133e-04,7.1425e-02,1.0436
540,541.00,39.10,6.5059e-03,4.5305e-04,6.9636e-02,1.0475
550,551.00,40.10,6.5491e-03,4.4719e-04,6.8282e-02,1.0510
560,561.00,41.10,6.5757e-03,4.4112e-04,6.7083e-02,1.0542
570,571.00,42.10,6.5968e-03,4.3809e-04,6.6409e-02,1.0571
580,581.00,43.10,6.6310e-03,4.3612e-04,6.5770e-02,1.0598
590,591.00,44.10,6.7383e-03,4.3953e-04,6.5229e-02,1.0623
600,601.00,45.10,6.8404e-03,4.4254e-04,6.4696e-02,1.0646
610,611.00,46.10,6.9429e-03,4.4865e-04,6.4620e-02,1.0669
620,621.00,47.10,7.0067e-03,4.5282e-04,6.4626e-02,1.0690
