step,elapsed,x_laser,G,cooling_rate,R,Tmax
160,161.00,11.00,1.2697e-02,3.0304e-02,2.3867e+00,0.9618
170,171.00,21.00,3.4560e-02,2.0252e-02,5.8600e-01,1.2461
180,181.00,31.00,3.6315e-02,1.5250e-02,4.1994e-01,1.5002
190,191.00,41.00,3.5261e-02,1.2544e-02,3.5575e-01,1.6858
200,201.00,51.00,3.5528e-02,1.0909e-02,3.0705e-01,1.8190
210,211.00,61.00,3.5236e-02,9.6749e-03,2.7457e-01,1.9154
220,221.00,71.00,3.6604e-02,8.7053e-03,2.3783e-01,1.9867
230,231.00,81.00,3.4227e-02,8.3017e-03,2.4255e-01,2.0039
240,241.00,91.00,3.2291e-02,7.5529e-03,2.3390e-01,2.0322
250,251.00,101.00,2.8788e-02,7.0463e-03,2.4477e-01,2.0281
260,261.00,111.00,2.8072e-02,6.5534e-03,2.3345e-01,2.0439
270,271.00,121.00,2.7418e-02,6.3475e-03,2.3150e-01,2.0443
280,281.00,131.00,2.6545e-02,6.0225e-03,2.2688e-01,2.0395
290,291.00,141.00,2.6133e-02,5.8738e-03,2.2477e-01,2.0322
300,301.00,151.00,2.5353e-02,5.4305e-03,2.1419e-01,2.0376
310,311.00,161.00,2.3806e-02,5.3940e-03,2.2658e-01,2.0363
320,321.00,171.00,2.3013e-02,5.0123e-03,2.1780e-01,2.0359
330,331.00,181.00,2.2385e-02,4.8478e-03,2.1656e-01,2.0320
340,341.00,191.00,2.1125e-02,2.9581e-03,1.4002e-01,2.0359
350,351.00,201.00,2.3287e-02,2.0285e-03,8.7110e-02,2.0456
