step,elapsed,x_laser,G,cooling_rate,R,Tmax
340,341.00,0.44,5.1846e-03,1.1904e-03,2.2961e-01,0.9442
360,361.00,0.49,1.1416e-02,1.0747e-03,9.4139e-02,0.9675
380,381.00,0.53,1.5697e-02,1.0306e-03,6.5655e-02,0.9899
400,401.00,0.58,2.0910e-02,9.1375e-04,4.3699e-02,1.0124
420,421.00,0.62,2.0292e-02,7.8724e-04,3.8796e-02,1.0319
440,441.00,0.67,1.9507e-02,7.3510e-04,3.7683e-02,1.0465
460,461.00,0.72,1.8987e-02,6.8278e-04,3.5959e-02,1.0580
480,481.00,0.76,1.8284e-02,6.2863e-04,3.4381e-02,1.0683
500,501.00,0.81,1.7961e-02,5.8587e-04,3.2618e-02,1.0785
520,521.00,0.85,1.8548e-02,5.3385e-04,2.8782e-02,1.0888
540,541.00,0.90,1.9633e-02,4.8887e-04,2.4900e-02,1.0992
560,561.00,0.95,2.0359e-02,4.4513e-04,2.1864e-02,1.1098
580,581.00,0.99,2.0523e-02,4.0717e-04,1.9840e-02,1.1201
600,601.00,1.04,2.0666e-02,3.7712e-04,1.8249e-02,1.1299
620,621.00,1.08,2.0698e-02,3.5542e-04,1.7171e-02,1.1392
640,641.00,1.13,2.1137e-02,3.2949e-04,1.5589e-02,1.1483
660,661.00,1.18,2.1778e-02,3.0564e-04,1.4034e-02,1.1569
680,681.00,1.22,2.2216e-02,2.8325e-04,1.2750e-02,1.1652
700,701.00,1.27,2.2522e-02,2.6318e-04,1.1686e-02,1.1729
720,721.00,1.31,2.2583e-02,2.4774e-04,1.0970e-02,1.1802
740,741.00,1.36,2.2808e-02,2.3460e-04,1.0286e-02,1.1870
760,761.00,1.41,2.2692e-02,2.2116e-04,9.7460e-03,1.1933
780,781.00,1.45,2.2932e-02,2.0722e-04,9.0364e-03,1.1992
800,801.00,1.50,2.2881e-02,1.9588e-04,8.5611e-03,1.2046
820,821.00,1.54,2.3025e-02,1.8514e-04,8.0407e-03,1.2097
840,841.00,1.59,2.3083e-02,1.7565e-04,7.6095e-03,1.2145
860,861.00,1.64,2.3191e-02,1.6760e-04,7.2272e-03,1.2190
880,881.00,1.68,2.3205e-02,1.5899e-04,6.8514e-03,1.2231
900,901.00,1.73,2.3320e-02,1.5046e-04,6.4518e-03,1.2270
920,921.00,1.77,2.3381e-02,1.4182e-04,6.0656e-03,1.2308
940,941.00,1.82,2.3316e-02,1.3362e-04,5.7308e-03,1.2344
960,961.00,1.87,2.3307e-02,1.2673e-04,5.4375e-03,1.2378
980,981.00,1.91,2.3507e-02,1.1994e-04,5.1024e-03,1.2410
1000,1001.00,1.96,2.3586e-02,1.1391e-04,4.8295e-03,1.2440
1020,1021.00,2.00,2.3638e-02,1.0857e-04,4.5932e-03,1.2469
1040,1041.00,2.05,2.3627e-02,1.0358e-04,4.3839e-03,1.2495
1060,1061.00,2.10,2.3712e-02,9.9074e-05,4.1783e-03,1.2521
1080,1081.00,2.14,2.3737e-02,9.4599e-05,3.9853e-03,1.2545
1100,1101.00,2.19,2.3835e-02,9.0654e-05,3.8034e-03,1.2568
1120,1121.00,2.23,2.3928e-02,8.6940e-05,3.6333e-03,1.2589
1140,1141.00,2.28,2.4017e-02,8.3507e-05,3.4769e-03,1.2610
1160,1161.00,2.33,2.4015e-02,8.0309e-05,3.3440e-03,1.2629
1180,1181.00,2.37,2.4070e-02,7.6975e-05,3.1980e-03,1.2648
1200,1201.00,2.42,2.4126e-02,7.3536e-05,3.0480e-03,1.2665
1220,1221.00,2.46,2.4090e-02,7.0341e-05,2.9199e-03,1.2682
1240,1241.00,2.51,2.4100e-02,6.7189e-05,2.7879e-03,1.2698
1260,1261.00,2.56,2.4099e-02,6.4306e-05,2.6684e-03,1.2713
1280,1281.00,2.60,2.4165e-02,6.1731e-05,2.5545e-03,1.2727
1300,1301.00,2.65,2.4201e-02,5.9690e-05,2.4664e-03,1.2741
1320,1321.00,2.69,2.4365e-02,5.8009e-05,2.3808e-03,1.2754
1340,1341.00,2.74,2.4341e-02,5.6463e-05,2.3197e-03,1.2766
1360,1361.00,2.79,2.4357e-02,5.4971e-05,2.2569e-03,1.2778
1380,1381.00,2.83,2.4398e-02,5.3640e-05,2.1985e-03,1.2789
1400,1401.00,2.88,2.4364e-02,5.2303e-05,2.1468e-03,1.2800
1420,1421.00,2.92,2.4381e-02,5.0793e-05,2.0834e-03,1.2810
1440,1441.00,2.97,2.4392e-02,4.9474e-05,2.0283e-03,1.2820
1460,1461.00,3.02,2.4304e-02,4.8049e-05,1.9770e-03,1.2829
1480,1481.00,3.06,2.4231e-02,4.6921e-05,1.9364e-03,1.2839
1500,1501.00,3.11,2.4194e-02,4.5979e-05,1.9004e-03,1.2847
1520,1521.00,3.15,2.4265e-02,4.5047e-05,1.8565e-03,1.2856
1540,1541.00,3.20,2.4287e-02,4.4213e-05,1.8204e-03,1.2864
1560,1561.00,3.25,2.4239e-02,4.3569e-05,1.7975e-03,1.2872
1580,1581.00,3.29,2.4206e-02,4.2832e-05,1.7695e-03,1.2880
1600,1601.00,3.34,2.4210e-02,4.2109e-05,1.7393e-03,1.2887
1620,1621.00,3.38,2.4258e-02,4.1319e-05,1.7033e-03,1.2895
1640,1641.00,3.43,2.4195e-02,4.0485e-05,1.6733e-03,1.2902
1660,1661.00,3.48,2.4171e-02,3.9597e-05,1.6382e-03,1.2909
1680,1681.00,3.52,2.4183e-02,3.8689e-05,1.5999e-03,1.2917
1700,1701.00,3.57,2.4175e-02,3.8032e-05,1.5732e-03,1.2924
1720,1721.00,3.61,2.4179e-02,3.7345e-05,1.5445e-03,1.2930
1740,1741.00,3.66,2.4154e-02,3.6606e-05,1.5155e-03,1.2937
1760,1761.00,3.71,2.4196e-02,3.5962e-05,1.4863e-03,1.2943
1780,1781.00,3.75,2.4185e-02,3.5482e-05,1.4671e-03,1.2950
1800,1801.00,3.80,2.4173e-02,3.4999e-05,1.4479e-03,1.2956
1820,1821.00,3.84,2.4308e-02,3.4531e-05,1.4205e-03,1.2962
1840,1841.00,3.89,2.4231e-02,3.4082e-05,1.4066e-03,1.2968
1860,1861.00,3.94,2.4273e-02,3.3608e-05,1.3846e-03,1.2973
1880,1881.00,3.98,2.4202e-02,3.3114e-05,1.3682e-03,1.2979
1900,1901.00,4.03,2.4205e-02,3.2567e-05,1.3455e-03,1.2984
