step,elapsed,x_laser,G,cooling_rate,R,Tmax
460,461.00,0.72,3.1407e-03,4.8097e-04,1.5314e-01,0.9473
480,481.00,0.76,4.6378e-03,4.3265e-04,9.3288e-02,0.9565
500,501.00,0.81,5.3275e-03,3.9430e-04,7.4012e-02,0.9649
520,521.00,0.85,5.8754e-03,3.7869e-04,6.4454e-02,0.9730
540,541.00,0.90,6.1852e-03,3.4116e-04,5.5157e-02,0.9805
560,561.00,0.95,6.5981e-03,3.1352e-04,4.7516e-02,0.9867
580,581.00,0.99,6.9600e-03,2.8912e-04,4.1540e-02,0.9921
600,601.00,1.04,7.2975e-03,2.6835e-04,3.6773e-02,0.9972
620,621.00,1.08,7.6753e-03,2.5009e-04,3.2584e-02,1.0021
640,641.00,1.13,7.9083e-03,2.3253e-04,2.9403e-02,1.0070
660,661.00,1.18,8.1215e-03,2.1333e-04,2.6268e-02,1.0116
680,681.00,1.22,8.3437e-03,1.9614e-04,2.3508e-02,1.0159
700,701.00,1.27,8.6785e-03,1.8176e-04,2.0944e-02,1.0198
720,721.00,1.31,8.8850e-03,1.7070e-04,1.9213e-02,1.0235
740,741.00,1.36,9.0455e-03,1.6016e-04,1.7707e-02,1.0270
760,761.00,1.41,9.1916e-03,1.4898e-04,1.6209e-02,1.0303
780,781.00,1.45,9.3112e-03,1.3879e-04,1.4906e-02,1.0333
800,801.00,1.50,9.4395e-03,1.3087e-04,1.3864e-02,1.0362
820,821.00,1.54,9.5320e-03,1.2342e-04,1.2948e-02,1.0389
840,841.00,1.59,9.6265e-03,1.1610e-04,1.2060e-02,1.0414
860,861.00,1.64,9.7048e-03,1.0946e-04,1.1279e-02,1.0438
880,881.00,1.68,9.8267e-03,1.0268e-04,1.0449e-02,1.0460
900,901.00,1.73,9.9024e-03,9.6329e-05,9.7278e-03,1.0481
920,921.00,1.77,9.9552e-03,9.0649e-05,9.1057e-03,1.0501
940,941.00,1.82,1.0023e-02,8.6107e-05,8.5908e-03,1.0519
960,961.00,1.87,1.0078e-02,8.2317e-05,8.1678e-03,1.0537
980,981.00,1.91,1.0113e-02,7.8941e-05,7.8056e-03,1.0554
1000,1001.00,1.96,1.0157e-02,7.5621e-05,7.4451e-03,1.0571
1020,1021.00,2.00,1.0204e-02,7.2427e-05,7.0979e-03,1.0587
1040,1041.00,2.05,1.0254e-02,6.9484e-05,6.7761e-03,1.0602
1060,1061.00,2.10,1.0402e-02,6.6716e-05,6.4141e-03,1.0616
1080,1081.00,2.14,1.0564e-02,6.4026e-05,6.0607e-03,1.0630
