step,elapsed,x_laser,G,cooling_rate,R,Tmax
200,301.50,1.53,2.5068e-02,4.3632e-03,1.7405e-01,1.0684
220,331.50,2.13,3.0673e-02,3.0862e-03,1.0062e-01,1.2134
240,361.50,2.73,3.3223e-02,2.3267e-03,7.0034e-02,1.3384
260,391.50,3.33,3.1372e-02,1.8563e-03,5.9168e-02,1.4409
280,421.50,3.93,3.0411e-02,1.5347e-03,5.0465e-02,1.5348
300,451.50,4.53,2.9966e-02,1.2746e-03,4.2534e-02,1.6238
320,481.50,5.13,2.9521e-02,1.1028e-03,3.7357e-02,1.7058
340,511.50,5.73,3.0225e-02,9.5576e-04,3.1622e-02,1.7834
360,541.50,6.33,2.9760e-02,8.4621e-04,2.8435e-02,1.8545
380,571.50,6.93,2.9652e-02,7.7130e-04,2.6012e-02,1.9205
400,601.50,7.53,3.0181e-02,6.9788e-04,2.3123e-02,1.9800
420,631.50,8.13,3.0330e-02,6.4421e-04,2.1240e-02,2.0337
440,661.50,8.73,2.9956e-02,6.0196e-04,2.0095e-02,2.0829
460,691.50,9.33,2.9525e-02,5.6308e-04,1.9072e-02,2.1268
480,721.50,9.93,2.9506e-02,5.2566e-04,1.7816e-02,2.1667
500,751.50,10.53,2.9681e-02,5.0264e-04,1.6935e-02,2.2033
520,781.50,11.13,2.9528e-02,4.8192e-04,1.6321e-02,2.2358
540,811.50,11.73,2.9684e-02,4.5538e-04,1.5341e-02,2.2657
560,841.50,12.33,2.9966e-02,4.3362e-04,1.4470e-02,2.2926
580,871.50,12.93,3.0186e-02,4.1996e-04,1.3913e-02,2.3165
600,901.50,13.53,3.0235e-02,4.0888e-04,1.3524e-02,2.3388
620,931.50,14.13,3.0455e-02,3.9546e-04,1.2985e-02,2.3581
640,961.50,14.73,3.0432e-02,3.8723e-04,1.2724e-02,2.3761
660,991.50,15.33,3.0337e-02,3.7827e-04,1.2469e-02,2.3917
680,1021.50,15.93,3.0571e-02,3.7124e-04,1.2144e-02,2.4062
700,1051.50,16.53,3.0603e-02,3.6760e-04,1.2012e-02,2.4187
720,1081.50,17.13,3.0594e-02,3.5977e-04,1.1759e-02,2.4303
740,1111.50,17.73,3.0613e-02,3.5659e-04,1.1648e-02,2.4402
760,1141.50,18.33,3.0851e-02,3.4829e-04,1.1289e-02,2.4495
780,1171.50,18.93,3.0942e-02,3.4358e-04,1.1104e-02,2.4576
800,1201.50,19.53,3.0860e-02,3.3905e-04,1.0987e-02,2.4646
820,1231.50,20.13,3.1061e-02,3.3843e-04,1.0895e-02,2.4712
840,1261.50,20.73,3.1078e-02,3.3752e-04,1.0860e-02,2.4768
860,1291.50,21.33,3.1172e-02,3.3629e-04,1.0788e-02,2.4817
880,1321.50,21.93,3.1504e-02,3.3418e-04,1.0607e-02,2.4864
900,1351.50,22.53,3.1851e-02,3.3352e-04,1.0471e-02,2.4903
920,1381.50,23.13,3.2323e-02,3.2980e-04,1.0203e-02,2.4936
940,1411.50,23.73,3.2510e-02,3.2622e-04,1.0034e-02,2.4970
960,1441.50,24.33,3.2234e-02,3.2492e-04,1.0080e-02,2.4998
980,1471.50,24.93,3.1937e-02,3.3423e-04,1.0465e-02,2.5021
1000,1501.50,25.53,3.1877e-02,3.3803e-04,1.0604e-02,2.5043
1020,1531.50,26.13,3.2637e-02,3.3714e-04,1.0330e-02,2.5064
1040,1561.50,26.73,3.2908e-02,3.2749e-04,9.9518e-03,2.5081
1060,1591.50,27.33,3.3162e-02,3.2425e-04,9.7778e-03,2.5095
1080,1621.50,27.93,3.4473e-02,3.2618e-04,9.4619e-03,2.5108
1100,1651.50,28.53,3.5880e-02,3.2754e-04,9.1287e-03,2.5121
1120,1681.50,29.13,3.6658e-02,3.3259e-04,9.0728e-03,2.5132
1140,1711.50,29.73,3.6108e-02,3.3196e-04,9.1937e-03,2.5140
1160,1741.50,30.33,3.5443e-02,3.2967e-04,9.3015e-03,2.5148
1180,1771.50,30.93,3.4605e-02,3.2779e-04,9.4724e-03,2.5157
1200,1801.50,31.53,3.3924e-02,3.2808e-04,9.6711e-03,2.5164
1220,1831.50,32.13,3.3444e-02,3.2887e-04,9.8336e-03,2.5168
1240,1861.50,32.73,3.2676e-02,3.3223e-04,1.0167e-02,2.5173
1260,1891.50,33.33,3.1954e-02,3.3343e-04,1.0435e-02,2.5180
1280,1921.50,33.93,3.1016e-02,3.2763e-04,1.0563e-02,2.5184
1300,1951.50,34.53,2.9861e-02,3.2640e-04,1.0931e-02,2.5187
1320,1981.50,35.13,2.8130e-02,3.2836e-04,1.1673e-02,2.5189
1340,2011.50,35.73,2.8421e-02,3.3372e-04,1.1742e-02,2.5194
1360,2041.50,36.33,2.8959e-02,3.3794e-04,1.1670e-02,2.5197
1380,2071.50,36.93,3.0197e-02,3.3765e-04,1.1182e-02,2.5199
1400,2101.50,37.53,3.0062e-02,3.3520e-04,1.1150e-02,2.5199
1420,2131.50,38.13,2.9831e-02,3.3049e-04,1.1078e-02,2.5202
1440,2161.50,38.73,2.9559e-02,3.3257e-04,1.1251e-02,2.5205
1460,2191.50,39.33,2.9403e-02,3.3941e-04,1.1543e-02,2.5206
1480,2221.50,39.93,2.9154e-02,3.4986e-04,1.2000e-02,2.5206
1500,2251.50,40.53,2.8981e-02,3.5302e-04,1.2181e-02,2.5207
1520,2281.50,41.13,2.9048e-02,3.5334e-04,1.2164e-02,2.5210
1540,2311.50,41.73,2.8056e-02,3.4971e-04,1.2465e-02,2.5211
1560,2341.50,42.33,2.7896e-02,3.5118e-04,1.2589e-02,2.5210
1580,2371.50,42.93,2.7603e-02,3.5400e-04,1.2825e-02,2.5210
1600,2401.50,43.53,2.7546e-02,3.5357e-04,1.2836e-02,2.5212
1620,2431.50,44.13,2.7470e-02,3.5458e-04,1.2908e-02,2.5213
1640,2461.50,44.73,2.7087e-02,3.5188e-04,1.2991e-02,2.5212
1660,2491.50,45.33,2.6630e-02,3.5199e-04,1.3218e-02,2.5211
1680,2521.50,45.93,2.6506e-02,3.6111e-04,1.3624e-02,2.5213
1700,2551.50,46.53,2.6355e-02,3.6541e-04,1.3865e-02,2.5214
1720,2581.50,47.13,2.6200e-02,3.6925e-04,1.4094e-02,2.5213
1740,2611.50,47.73,2.6253e-02,3.7309e-04,1.4211e-02,2.5212
1760,2641.50,48.33,2.5863e-02,3.6987e-04,1.4301e-02,2.5213
1780,2671.50,48.93,2.5996e-02,3.7003e-04,1.4234e-02,2.5214
1800,2701.50,49.53,2.5677e-02,3.6913e-04,1.4376e-02,2.5214
1820,2731.50,50.13,2.5254e-02,3.7247e-04,1.4749e-02,2.5213
1840,2761.50,50.73,2.4856e-02,3.7445e-04,1.5065e-02,2.5212
1860,2791.50,51.33,2.4687e-02,3.7603e-04,1.5232e-02,2.5214
1880,2821.50,51.93,2.4448e-02,3.7516e-04,1.5345e-02,2.5214
1900,2851.50,52.53,2.4389e-02,3.7461e-04,1.5360e-02,2.5212
1920,2881.50,53.13,2.4282e-02,3.7362e-04,1.5387e-02,2.5211
1940,2911.50,53.73,2.4187e-02,3.7332e-04,1.5435e-02,2.5212
1960,2941.50,54.33,2.4164e-02,3.7511e-04,1.5523e-02,2.5212
1980,2971.50,54.93,2.4196e-02,3.8068e-04,1.5733e-02,2.5211
2000,3001.50,55.53,2.4106e-02,3.8392e-04,1.5926e-02,2.5209
2020,3031.50,56.13,2.4082e-02,3.8483e-04,1.5980e-02,2.5210
2040,3061.50,56.73,2.4035e-02,3.8493e-04,1.6016e-02,2.5211
2060,3091.50,57.33,2.3910e-02,3.8595e-04,1.6142e-02,2.5210
2080,3121.50,57.93,2.3670e-02,3.8364e-04,1.6208e-02,2.5208
2100,3151.50,58.53,2.3680e-02,3.8477e-04,1.6249e-02,2.5208
2120,3181.50,59.13,2.3686e-02,3.8267e-04,1.6156e-02,2.5209
2140,3211.50,59.73,2.3783e-02,3.8262e-04,1.6087e-02,2.5209
2160,3241.50,60.33,2.3851e-02,3.8178e-04,1.6007e-02,2.5207
2180,3271.50,60.93,2.3923e-02,3.7805e-04,1.5803e-02,2.5206
2200,3301.50,61.53,2.4006e-02,3.7788e-04,1.5741e-02,2.5208
2220,3331.50,62.13,2.4039e-02,3.8261e-04,1.5916e-02,2.5208
2240,3361.50,62.73,2.4006e-02,3.8781e-04,1.6155e-02,2.5207
2260,3391.50,63.33,2.3843e-02,3.8904e-04,1.6316e-02,2.5205
2280,3421.50,63.93,2.3937e-02,3.9001e-04,1.6294e-02,2.5206
2300,3451.50,64.53,2.3972e-02,3.9062e-04,1.6295e-02,2.5207
2320,3481.50,65.13,2.3943e-02,3.9129e-04,1.6342e-02,2.5206
2340,3511.50,65.73,2.3860e-02,3.9242e-04,1.6446e-02,2.5205
2360,3541.50,66.33,2.3867e-02,3.9130e-04,1.6395e-02,2.5205
2380,3571.50,66.93,2.3869e-02,3.8696e-04,1.6212e-02,2.5206
2400,3601.50,67.53,2.4000e-02,3.8739e-04,1.6142e-02,2.5206
2420,3631.50,68.13,2.3989e-02,3.8551e-04,1.6070e-02,2.5205
2440,3661.50,68.73,2.3930e-02,3.8482e-04,1.6081e-02,2.5204
2460,3691.50,69.33,2.3797e-02,3.8711e-04,1.6267e-02,2.5205
