step,elapsed,x_laser,G,cooling_rate,R,Tmax
420,421.00,5.42,3.3411e-03,7.2062e-04,2.1568e-01,0.9480
440,441.00,5.82,5.2331e-03,6.4182e-04,1.2265e-01,0.9618
460,461.00,6.22,6.0608e-03,5.9741e-04,9.8569e-02,0.9744
480,481.00,6.62,6.7297e-03,5.6553e-04,8.4035e-02,0.9865
500,501.00,7.02,7.2451e-03,5.4351e-04,7.5017e-02,0.9985
520,521.00,7.42,7.6620e-03,5.2263e-04,6.8211e-02,1.0100
540,541.00,7.82,8.2068e-03,4.8490e-04,5.9085e-02,1.0204
560,561.00,8.22,8.6935e-03,4.5492e-04,5.2329e-02,1.0298
580,581.00,8.62,9.0830e-03,4.3123e-04,4.7477e-02,1.0383
600,601.00,9.02,9.4447e-03,4.0897e-04,4.3302e-02,1.0464
620,621.00,9.42,9.6944e-03,3.8889e-04,4.0114e-02,1.0542
640,641.00,9.82,1.0078e-02,3.7154e-04,3.6865e-02,1.0620
660,661.00,10.22,1.0732e-02,3.5319e-04,3.2909e-02,1.0696
680,681.00,10.62,1.1289e-02,3.3546e-04,2.9715e-02,1.0770
700,701.00,11.02,1.1743e-02,3.2122e-04,2.7354e-02,1.0841
720,721.00,11.42,1.2200e-02,3.0751e-04,2.5205e-02,1.0912
740,741.00,11.82,1.2601e-02,2.9575e-04,2.3470e-02,1.0978
760,761.00,12.22,1.2922e-02,2.8350e-04,2.1940e-02,1.1041
780,781.00,12.62,1.3184e-02,2.7331e-04,2.0730e-02,1.1099
800,801.00,13.02,1.3418e-02,2.6571e-04,1.9802e-02,1.1157
820,821.00,13.42,1.3602e-02,2.5489e-04,1.8740e-02,1.1212
840,841.00,13.82,1.3780e-02,2.4793e-04,1.7992e-02,1.1264
860,861.00,14.22,1.3945e-02,2.3996e-04,1.7208e-02,1.1314
880,881.00,14.62,1.4120e-02,2.3137e-04,1.6386e-02,1.1363
900,901.00,15.02,1.4283e-02,2.2303e-04,1.5615e-02,1.1411
920,921.00,15.42,1.4421e-02,2.1469e-04,1.4887e-02,1.1456
940,941.00,15.82,1.4526e-02,2.1101e-04,1.4527e-02,1.1499
960,961.00,16.22,1.4601e-02,2.0539e-04,1.4067e-02,1.1541
980,981.00,16.62,1.4691e-02,1.9933e-04,1.3568e-02,1.1582
1000,1001.00,17.02,1.4776e-02,1.9805e-04,1.3404e-02,1.1620
1020,1021.00,17.42,1.4804e-02,1.9426e-04,1.3122e-02,1.1655
1040,1041.00,17.82,1.4891e-02,1.8898e-04,1.2691e-02,1.1691
1060,1061.00,18.22,1.4921e-02,1.8584e-04,1.2455e-02,1.1726
1080,1081.00,18.62,1.4949e-02,1.8486e-04,1.2366e-02,1.1758
1100,1101.00,19.02,1.4941e-02,1.8447e-04,1.2346e-02,1.1790
1120,1121.00,19.42,1.4954e-02,1.8219e-04,1.2184e-02,1.1822
1140,1141.00,19.82,1.4918e-02,1.8017e-04,1.2077e-02,1.1852
1160,1161.00,20.22,1.4974e-02,1.7856e-04,1.1925e-02,1.1879
1180,1181.00,20.62,1.4994e-02,1.7678e-04,1.1790e-02,1.1908
1200,1201.00,21.02,1.5022e-02,1.7462e-04,1.1624e-02,1.1936
1220,1221.00,21.42,1.5082e-02,1.7338e-04,1.1496e-02,1.1961
1240,1241.00,21.82,1.5104e-02,1.7281e-04,1.1441e-02,1.1986
1260,1261.00,22.22,1.5116e-02,1.7164e-04,1.1355e-02,1.2010
1280,1281.00,22.62,1.5142e-02,1.7311e-04,1.1432e-02,1.2032
1300,1301.00,23.02,1.5129e-02,1.7249e-04,1.1401e-02,1.2054
1320,1321.00,23.42,1.5104e-02,1.7229e-04,1.1407e-02,1.2075
1340,1341.00,23.82,1.5084e-02,1.7366e-04,1.1513e-02,1.2095
1360,1361.00,24.22,1.5082e-02,1.7352e-04,1.1505e-02,1.2114
1380,1381.00,24.62,1.5062e-02,1.7279e-04,1.1472e-02,1.2132
1400,1401.00,25.02,1.5027e-02,1.7104e-04,1.1382e-02,1.2149
1420,1421.00,25.42,1.4998e-02,1.7085e-04,1.1392e-02,1.2166
1440,1441.00,25.82,1.4908e-02,1.7131e-04,1.1491e-02,1.2183
1460,1461.00,26.22,1.4952e-02,1.7149e-04,1.1470e-02,1.2197
1480,1481.00,26.62,1.4921e-02,1.7124e-04,1.1476e-02,1.2213
1500,1501.00,27.02,1.4891e-02,1.7088e-04,1.1475e-02,1.2227
1520,1521.00,27.42,1.4879e-02,1.7074e-04,1.1476e-02,1.2241
1540,1541.00,27.82,1.4848e-02,1.7349e-04,1.1684e-02,1.2255
1560,1561.00,28.22,1.4833e-02,1.7427e-04,1.1749e-02,1.2267
1580,1581.00,28.62,1.4832e-02,1.7510e-04,1.1806e-02,1.2279
1600,1601.00,29.02,1.4768e-02,1.7445e-04,1.1813e-02,1.2290
1620,1621.00,29.42,1.4726e-02,1.7539e-04,1.1910e-02,1.2300
1640,1641.00,29.82,1.4615e-02,1.7540e-04,1.2001e-02,1.2311
1660,1661.00,30.22,1.4610e-02,1.7536e-04,1.2003e-02,1.2320
1680,1681.00,30.62,1.4625e-02,1.7542e-04,1.1995e-02,1.2329
1700,1701.00,31.02,1.4619e-02,1.7565e-04,1.2015e-02,1.2339
1720,1721.00,31.42,1.4577e-02,1.7539e-04,1.2032e-02,1.2347
1740,1741.00,31.82,1.4525e-02,1.7751e-04,1.2220e-02,1.2356
1760,1761.00,32.22,1.4464e-02,1.7962e-04,1.2419e-02,1.2363
1780,1781.00,32.62,1.4381e-02,1.8037e-04,1.2542e-02,1.2372
1800,1801.00,33.02,1.4349e-02,1.8176e-04,1.2667e-02,1.2379
1820,1821.00,33.42,1.4303e-02,1.8252e-04,1.2761e-02,1.2386
1840,1841.00,33.82,1.4286e-02,1.8102e-04,1.2671e-02,1.2392
